Region,Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
Intermountain Region,ALFL,Alibates Flint Quarries National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Unconfirmed,,Native,,,,,,,,,,SC,,,G5,TX: S4
Intermountain Region,AMIS,Amistad National Recreation Area,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Present,,Native,,Abundant,Resident,,,"133521, 590937",,,,SC,,,G5,TX: S4
Intermountain Region,ARCH,Arches National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,"123052, 141330, 16606, 166605, 167057, 548816, 585206, 591375, 74027",,,,SC,,,G5,UT: S3
Intermountain Region,AZRU,Aztec Ruins National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Unconfirmed,,Native,,,,,,"598619, 650869",,,,SC,,,G5,NM: S4
Intermountain Region,BAND,Bandelier National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,"598620, 650869, 74078",,,,SC,,,G5,NM: S4
Intermountain Region,BIBE,Big Bend National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,Bassariscus astutus flavus,Accepted,No,Approved,Present,,Native,,Unknown,Resident,,,"176573, 590351, 649381, 650912",,"1111082, 1112196, 1112475, 1179918, 1284212, 1290879, 1529193, 1529361",,SC,,,G5,TX: S4
Intermountain Region,BITH,Big Thicket National Preserve,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Present,,Native,,Occasional,,,,"141177, 22704, 74081",,,,SC,,,G5,TX: S4
Intermountain Region,BLCA,Black Canyon of the Gunnison National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Present,,Native,,Unknown,Breeder,,,"141330, 548423, 585206",,,,SC,,,G5,CO: S4
Intermountain Region,BRCA,Bryce Canyon National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Present,,Native,,Unknown,Breeder,,,"141330, 16521, 167297, 585206, 74046, 9390, 9391",,1042743,,SC,,,G5,UT: S3
Intermountain Region,CACH,Canyon De Chelly National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Present,,Native,,Unknown,,,,138386,,,,SC,,,G5,AZ: S5
Intermountain Region,CANY,Canyonlands National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,"105431, 141330, 166605, 166606, 166751, 20262, 548816, 585206, 591010, 591375",,,,SC,,,G5,UT: S3
Intermountain Region,CARE,Capitol Reef National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Present,,Native,,Unknown,Breeder,,,"141330, 16521, 16522, 548423, 585206, 9391",,,,SC,,,G5,UT: S3
Intermountain Region,CAVE,Carlsbad Caverns National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,Bassariscus astutus flavus,Accepted,No,Approved,Present,,Native,,Unknown,Resident,,,"650321, 650522, 8729",,"1061196, 1061705, 1061706, 1061943, 1062338, 1062388, 1062406, 1062451",,SC,,,G5,NM: S4
Intermountain Region,CEBR,Cedar Breaks National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Probably Present,,Native,,,,,,"141330, 548423, 585206",,,,SC,,,G5,UT: S3
Intermountain Region,CHCU,Chaco Culture National Historical Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Unconfirmed,,Native,,,,,,598620,,,,SC,,,G5,NM: S4
Intermountain Region,CHIR,Chiricahua National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,ringtail,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,"166481, 172271, 172923, 172965, 598517, 646923, 647029","483887, 483888, 483889, 483890, 483891, 483892, 483893, 484116",1434730,,SC,,,G5,AZ: S5
Pacific West Region,CIRO,City Of Rocks National Reserve,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Present,,Native,,Unknown,,,,560109,,,,SC,,,G5,ID: SH
Intermountain Region,COLM,Colorado National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,Bassariscus astutus flavus,Accepted,No,Approved,Present,,Native,,Unknown,Breeder,,,"141330, 35720, 585206",,"1368660, 1368661",,SC,,,G5,CO: S4
Intermountain Region,CORO,Coronado National Memorial,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,"ringtail cat, ring-tailed cat, ringtail",,Accepted,No,Approved,Present,,Native,,Unknown,,,,547431,,,,SC,,,G5,AZ: S5
Pacific West Region,CRLA,Crater Lake National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Not In Park,Adjacent,Native,,,,,,"147220, 147221, 627298, 74027",,,,SC,OR: S,,G5,OR: S3
Intermountain Region,CURE,Curecanti National Recreation Area,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Present,,Native,,Unknown,Breeder,,,"141330, 548423, 585206",,,,SC,,,G5,CO: S4
Pacific West Region,DEPO,Devils Postpile National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Probably Present,,Native,,,,,,,,,,SC,,,G5,CA: SNR
Pacific West Region,DEVA,Death Valley National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,Bassariscus astutus nevadensis,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,"23060, 33039, 40178, 632735, 633207, 633242, 633260, 634334, 634575, 642428, 643208, 648584, 648981, 649894, 663289, 74181",,"1059730, 1203104, 1388189, 1388748",,SC,,,G5,CA: SNR; NV: S4
Intermountain Region,DINO,Dinosaur National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,Bassariscus astutus arizonensis,Accepted,No,Approved,Present,,Native,,Unknown,Management Priority; Breeder,,,"141330, 168125, 585206",,,,SC,,,G5,CO: S4; UT: S3
Intermountain Region,ELMA,El Malpais National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,"132486, 598620, 650869",,,,SC,,,G5,NM: S4
Intermountain Region,ELMO,El Morro National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Probably Present,,Native,,,,,,"598619, 650869, 74102",,,,SC,,,G5,NM: S4
Intermountain Region,FOBO,Fort Bowie National Historic Site,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,"151023, 647063",,,,SC,,,G5,AZ: S5
Intermountain Region,FOBU,Fossil Butte National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Unconfirmed,,Native,,,,,,"141330, 548423, 585206",,,,SC,,,G5,WY: S1
Intermountain Region,GLCA,Glen Canyon National Recreation Area,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Present,,Native,,Unknown,,,,"13651, 7866, 96844",,,,SC,,,G5,AZ: S5; UT: S3
Pacific West Region,GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,ringtail,,Accepted,No,Approved,Probably Present,,Native,,,,,,,,,,SC,,,G5,CA: SNR
Pacific West Region,GOGA,Golden Gate National Recreation Area,Mammal,1,Carnivora,Procyonidae,630717,727425,Active,Bassariscus astutus raptor,,,Accepted,No,In Review,Present,,Unknown,,,,Subunit: Giacomini,,,14115180,,,,,,,
Intermountain Region,GOSP,Golden Spike National Historic Site,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Unconfirmed,,Native,,,,,,"141330, 548423, 585206",,,,SC,,,G5,UT: S3
Pacific West Region,GRBA,Great Basin National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,"ringtail, ringtailed cat",,Accepted,No,Approved,Present,,Native,,Uncommon,Management Priority; Breeder,,,"389488, 632672, 633281, 633500, 8814, 8961",,,,SC,,,G5,NV: S4
Pacific West Region,GRBA,Great Basin National Park,Mammal,1,Carnivora,Procyonidae,630711,727422,Active,Bassariscus astutus nevadensis,,,Undecided,No,In Review,,,,,,,,,8814,,,,,,,,
Intermountain Region,GRCA,Grand Canyon National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,"23251, 33092, 74212",,"14850120, 14850750, 14850780, 14853180, 14876130",,SC,,,G5,AZ: S5
Intermountain Region,GUMO,Guadalupe Mountains National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,Bassariscus astutus flavus,Accepted,No,Approved,Present,,Native,,Unknown,Resident,,,"590018, 74187, 74221","100060, 103244, 107899, 109888, 118891, 159703, 159917, 160226, 160410, 160411, 160485, 160679, 160809, 160810, 160943, 161886, 161887, 161888, 163652, 166068, 183255, 184923, 202881, 202882, 203144, 218773, 219067, 236373, 236955, 238280, 238912, 239256, 678713, 96947, 96954, 98560, 99429","1036479, 1036901",,SC,,,G5,TX: S4
Intermountain Region,HOVE,Hovenweep National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,"141330, 166606, 167315, 548423, 548816, 585206, 591375",,,,SC,,,G5,CO: S4; UT: S3
Pacific West Region,JOTR,Joshua Tree National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,ringtail,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,"548881, 632753",589756,,,SC,,,G5,CA: SNR
Pacific West Region,LAKE,Lake Mead National Recreation Area,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,ringtail,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,127328,,1288047,,SC,,,G5,AZ: S5; NV: S4
Intermountain Region,LAMR,Lake Meredith National Recreation Area,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,,,,,SC,,,G5,TX: S4
Pacific West Region,LAVO,Lassen Volcanic National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,Bassariscus astutus raptor,Accepted,No,Approved,Probably Present,,Native,,,,,,"123449, 147244, 25782, 567613, 567740, 73968, 74027",,,,SC,,,G5,CA: SNR
Intermountain Region,LYJO,Lyndon B. Johnson National Historical Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,ringtail,,Accepted,No,Approved,Present,,Native,,Unknown,,,,580774,,,,SC,,,G5,TX: S4
Intermountain Region,MEVE,Mesa Verde National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,"13648, 169629, 74122, 9391",,,,SC,,,G5,CO: S4
Intermountain Region,MOCA,Montezuma Castle National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,"547462, 646991, 646998",,,,SC,,,G5,AZ: S5
Pacific West Region,MOJA,Mojave National Preserve,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,ringtail,Bassariscus astutus nevadensis,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,"133444, 169569",,,,SC,,,G5,CA: SNR; NV: S4
Intermountain Region,NABR,Natural Bridges National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Probably Present,,Native,,,,,,"13649, 141330, 16522, 166605, 166606, 167058, 170958, 548816, 585206, 591375",,,,SC,,,G5,UT: S3
Intermountain Region,NAVA,Navajo National Monument,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Probably Present,,Native,,,,,,"16274, 598622",,,,SC,,,G5,AZ: S5
