focal_event,time,behavior,people_pass,human_squirrel_engage,conspecific_interaction,trail,photo,contact,food_item,notes,
A_01_31J19,18:22:00,eating,5,N,,off,,,apple,,
A_01_31J19,18:22:37,walking,,,,on,,,,,
A_01_31J19,18:23:00,stopped,,,,on,,,,,
A_01_31J19,18:23:30,walking,,,,on,,,,,
A_01_31J19,18:23:45,sniffing,10,N,,on,,,,ground,
A_01_31J19,18:24:00,drinking,,,,on,,,,,
A_01_31J19,18:26:22,sniffing,2,N,,on,,,,ground,
A_01_31J19,18:27:05,sniffing,2,N,,on,,,,,
A_01_31J19,18:27:27,sniffing,2,N,,on,,,,taking pictures of scenery,
A_01_31J19,18:28:00,staring,,,,on,,,,,
A_01_31J19,18:28:22,drinking,,,,on,,,,,
A_01_31J19,18:28:30,drinking,2,Y,,on,Y,,,photographing squirrel,
A_01_31J19,18:29:52,eating,3,N,,on,,,,sand,
A_01_31J19,18:30:00,walking,,,,on,,,,,
A_01_31J19,18:30:28,running,,,,on,,,,,
A_01_31J19,18:30:48,eating,,,,on,,,,,
A_01_31J19,18:31:27,hop,,,,on,,,,,
A_01_31J19,18:31:45,hop,,,,off,,,,,
A_01_31J19,18:32:00,end,,,,,,,,,
A_02_31J19,18:32:25,sniffing,,,,on,,,,juvenile ,
A_02_31J19,18:32:40,drinking,,,,on,,,,,
A_02_31J19,18:32:49,drinking,4,N,,on,,,,within 0.5 ft of squirrel,
A_02_31J19,18:33:01,walking,,,,on,,,,,
A_02_31J19,18:33:22,walking,,,,on,,,,,
A_02_31J19,18:33:40,walking,4,N,,on,,,,,
A_02_31J19,18:34:00,walking,4,N,,on,,,,,
A_02_31J19,18:34:17,sniffing,,,,on,,,,,
A_02_31J19,18:34:42,sniffing,5,Y,,on,,,,Stopped,
A_02_31J19,18:34:50,sniffing,3,Y,,off,Y,,,take pictures of squirrel,
A_02_31J19,18:35:19,sniffing,4,Y,,off,,,,,
A_02_31J19,18:35:59,staring,,,,off,,,,,
A_02_31J19,18:36:18,digging,3,Y,,on,,,,Stopped,
A_02_31J19,18:36:49,digging,2,N,,on,,,,,
A_02_31J19,18:36:52,digging,4,N,,on,,,,,
A_02_31J19,18:37:00,digging,2,N,,on,,,,,
A_02_31J19,18:37:19,digging,2,Y,,on,,,,Stopped,
A_02_31J19,18:37:28,digging,8,N,,on,,,,,
A_02_31J19,18:37:38,digging,,,,on,,,,new dig location,
A_02_31J19,18:38:27,walking,4,Y,,on,,,,one person extends hand,
A_02_31J19,18:40:29,oos,,,,off,,,,,
A_02_31J19,18:41:01,walking,,,,off,,,,,
A_02_31J19,18:41:30,licking,,,,off,,,,,
A_02_31J19,18:41:38,licking,2,Y,,off,Y,,,take pictures of squirrel,
A_02_31J19,18:41:56,sniffing,,,,off,,,,,
A_02_31J19,18:42:02,walking,,,,off,,,,,
A_02_31J19,18:42:30,end,,,,,,,,,
A_03_31J19,18:46:24,digging,,,,off,,,,,
A_03_31J19,18:46:55,walking,,,,on,,,,,
A_03_31J19,18:47:10,walking,,,,off,,,,,
A_03_31J19,18:47:19,walking,,,,on,,,,,
A_03_31J19,18:48:15,walking,2,N,,on,,,,,
A_03_31J19,18:48:36,eating,,,,off,,,grass,,
A_03_31J19,18:48:53,eating,5,N,,off,,,,within 2 ft of squirrel,
A_03_31J19,18:49:06,eating,2,N,,off,,,,,
A_03_31J19,18:49:41,eating,3,N,,off,,,,within 1 ft of squirrel,
A_03_31J19,18:50:08,eating,2,N,,off,,,,,
A_03_31J19,18:50:30,eating,1,N,,off,,,,within 3 ft of squirrel,
A_03_31J19,18:51:18,walking,,,,off,,,,,
A_03_31J19,18:51:24,eating,,,,off,,,unknown,,
A_03_31J19,18:52:01,walking,,,,on,,,,,
A_03_31J19,18:53:18,walking,,,,off,,,,,
A_03_31J19,18:53:32,walking,2,N,,off,,,,,
A_03_31J19,18:54:33,eating,,,,off,,,unknown,,
A_03_31J19,18:55:36,walking,,,,off,,,,,
A_03_31J19,18:55:44,eating,,,,off,,,unknown,,
A_03_31J19,18:56:06,eating,,,,off,,,moth,caught from chasing,
A_03_31J19,18:56:44,end,,,,,,,,,
A_04_31J19,18:56:44,bite,3,Y,,on,,Y,,bites/snaps at girl walking by playing music,
A_04_31J19,18:56:59,staring,3,Y,,on,Y,,,photographing squirrel,
A_04_31J19,18:57:29,hop,,,,on,,,,on wall,
A_04_31J19,18:57:41,staring,,,,on,,,,,
A_04_31J19,18:57:55,walking,,,,on,,,,,
A_04_31J19,18:58:17,eating,,,,on,,,grape,grape,
A_04_31J19,18:58:24,walking,,,,on,,,,,
A_04_31J19,18:58:35,walking,3,N,,on,,,,,
A_04_31J19,18:58:52,walking,2,N,,on,,,,,
A_04_31J19,18:59:01,walking,3,N,,on,,,,,
A_04_31J19,18:59:15,walking,6,N,,on,,,,,
A_04_31J19,19:00:16,walking,3,N,,on,,,,,
A_04_31J19,19:00:37,staring,,,,on,,,,,
A_04_31J19,19:00:43,walking,,,,on,,,,,
A_04_31J19,19:01:06,staring,,,,on,,,,,
A_04_31J19,19:01:12,walking,,,,on,,,,,
A_04_31J19,19:01:17,sniffing,,,,on,,,,,
A_04_31J19,19:01:42,staring,,,,off,,,,,
A_04_31J19,19:01:53,sniffing,,,,off,,,,,
A_04_31J19,19:02:01,walking,,,,on,,,,,
A_04_31J19,19:02:56,walking,,,,off,,,,,
A_04_31J19,19:03:05,walking,,,,off,,,,,
A_04_31J19,19:03:25,drinking,,,,off,,,,,
A_04_31J19,19:03:54,walking,,,,off,,,,,
A_04_31J19,19:04:29,walking,3,Y,,off,Y,,,photo,
A_04_31J19,19:04:35,hop,,,,on,,,,on wall,
A_04_31J19,19:04:44,walking,,,,on,,,,,
A_04_31J19,19:04:58,walking,,,,on,,,,3 people from 19:04:35 leave,
A_04_31J19,19:05:09,walking,,,,on,,,,,
A_04_31J19,19:05:49,walking,1,N,,on,,,,1 ft from girl,
A_04_31J19,19:06:01,walking,,,,on,,,,,
A_04_31J19,19:07:00,end,,,,on,,,,,
A_05_31J19,19:15:00,eating,2,Y,,on,,Y,sunflower seeds,"feeding squirrel sunflower seeds, petting squirrel",
A_05_31J19,19:15:44,walking,3,N,,off,,,,"""don�t pet the squirrel, that's how you get diseases and get sick""",
A_05_31J19,19:16:23,digging,,,,off,,,,,
A_05_31J19,19:16:49,oos,,,,off,,,,,
A_05_31J19,19:19:00,end,,,,,,,,,
Z_01_31J19,18:24:00,eating,,,,off,,,grass,,
Z_01_31J19,18:25:00,eating,,,,on,,,unknown,,
Z_01_31J19,18:25:30,eating,,,,off,,,grass,,
Z_01_31J19,18:28:17,eating,1,N,,off,,,grass,,
Z_01_31J19,18:29:00,eating,2,Y,,off,Y,,,photograph,
