"","video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","vid_id","SearchTerm_cacomistle","SearchTerm_ringtail_cat","SearchTerm_miners_cat","URL","Title","Uploader","Include_studyspecies","Filter_criteria","notes","ringtails_individuals","human_individuals","date_posted","date_recorded","direct feeding","provided_food_type","using human structure","natural foraging","natural_foraged_food_type","foraging human resources","foraged_hr_food_type","human wildlife conflict","activity","HumanInterface","location","latitude","longitude"
"1","NleMQdbV7WU","2015-10-26T17:02:06.000Z","UCaIFA0lF5QRpgSXHb3GDVjg","Ringtail","","https://i.ytimg.com/vi/NleMQdbV7WU/default.jpg","120","90","https://i.ytimg.com/vi/NleMQdbV7WU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/NleMQdbV7WU/hqdefault.jpg","480","360","DesertMuseum","none",127,"no","yes","yes","https://www.youtube.com/watch?v=NleMQdbV7WU","Ringtail","DesertMuseum","yes","educational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","OJmn0NAVWfA","2010-03-01T07:33:29.000Z","UCLpIQiM1uvJEH34zflaM8cw","Ringtail Cat in AZ - Best Footage","Ringtail Cat, Bassariscus astutus, filmed in Sabino Canyon in Tucson, AZ.","https://i.ytimg.com/vi/OJmn0NAVWfA/default.jpg","120","90","https://i.ytimg.com/vi/OJmn0NAVWfA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/OJmn0NAVWfA/hqdefault.jpg","480","360","Aaron Ramirez","none",97,"no","yes","no","https://www.youtube.com/watch?v=OJmn0NAVWfA","Ringtail Cat in AZ - Best Footage","Aaron Ramirez","yes",NA,"daytime activity","1","1","2010-02-28",NA,"yes","unclear","no","no","n/a","no",NA,"no","walking","nature tourism trails","Sabino Canyon, Arizona",32.334724,-110.7858352
"3","crG4lepMiKw","2016-08-17T14:31:48.000Z","UCEMN-qU2wTzEAitR61OwuTw","Ringtail cat babies! Squaw peak mountain phx az...","","https://i.ytimg.com/vi/crG4lepMiKw/default.jpg","120","90","https://i.ytimg.com/vi/crG4lepMiKw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/crG4lepMiKw/hqdefault.jpg","480","360","piercealldesign","none",24,"no","yes","no","https://www.youtube.com/watch?v=crG4lepMiKw","Ringtail cat babies! Squaw peak mountain phx az...","piercealldesign","yes",NA,"activity during the day","4","1",NA,NA,"yes","water","no",NA,NA,NA,NA,NA,"walking; drinking","nature tourism trail","Squaw Peak Mountain, Phoenix, USA",33.5473663,-112.029611
"4","W4T2PpEqlso","2018-08-20T19:53:03.000Z","UCG6QEHCBfWZOnv7UVxappyw","Ringtail - Waking Up (Wubbaduck Remix)","Subscribe for more songs : http://goo.gl/S1qiev ○ Artwork by Zapekanka: https://www.deviantart.com/zapekanka/art/Mabel-450422690 ○ Free Download: ...","https://i.ytimg.com/vi/W4T2PpEqlso/default.jpg","120","90","https://i.ytimg.com/vi/W4T2PpEqlso/mqdefault.jpg","320","180","https://i.ytimg.com/vi/W4T2PpEqlso/hqdefault.jpg","480","360","DubstepGutter","none",351,"no","yes","no","https://www.youtube.com/watch?v=W4T2PpEqlso","Ringtail - Waking Up (Wubbaduck Remix)","DubstepGutter","no","music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ExpA-EnKvO0","2018-12-25T19:56:56.000Z","UCG6QEHCBfWZOnv7UVxappyw","Ringtail - Love Trap","Ringtail - Love Trap ○ Free Download: https://soundcloud.com/ringtailtunes/love-trap ••••••••••••••••••••••••••••••••••••...","https://i.ytimg.com/vi/ExpA-EnKvO0/default.jpg","120","90","https://i.ytimg.com/vi/ExpA-EnKvO0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/ExpA-EnKvO0/hqdefault.jpg","480","360","DubstepGutter","none",350,"no","yes","no","https://www.youtube.com/watch?v=ExpA-EnKvO0","Ringtail - Love Trap","DubstepGutter","no","music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","owl6hpoTFXY","2016-09-02T15:34:20.000Z","UCyWZFr9zS8FUSrXX0PlBuOQ","Arizona Ringtail Cat comes to dine nightly!","For the past several weeks, she has come by to sit and dine! She has gotten more and more closer gaining trust, and at times will just streach out and relax!","https://i.ytimg.com/vi/owl6hpoTFXY/default.jpg","120","90","https://i.ytimg.com/vi/owl6hpoTFXY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/owl6hpoTFXY/hqdefault.jpg","480","360","cheft2gottza1","none",4,"no","yes","no","https://www.youtube.com/watch?v=owl6hpoTFXY","Arizona Ringtail Cat comes to dine nightly!","cheft2gottza1","yes",NA,"repeated visit","1","1",NA,NA,"yes","meat; watermelon; grapes; carrots","yes",NA,NA,NA,NA,NA,NA,"residential?",NA,NA,NA
"7","RLbWf70mFX4","2018-03-31T04:13:38.000Z","UCJDUFyiyGLuIaMu_kbpLCsQ","Ringtail - Waking up","https://soundcloud.com/ringtailtunes/waking-up . . . https://soundcloud.com/ringtailtunes https://twitter.com/RadicalRingtail.","https://i.ytimg.com/vi/RLbWf70mFX4/default.jpg","120","90","https://i.ytimg.com/vi/RLbWf70mFX4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/RLbWf70mFX4/hqdefault.jpg","480","360","RadicalRingtail","none",651,"no","yes","no","https://www.youtube.com/watch?v=RLbWf70mFX4","Ringtail - Waking up","RadicalRingtail","no","music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","HucGoBsaWME","2017-11-30T01:23:05.000Z","UCka1iVwonn8-U48IwIAjlfA","Ringtail Quick Demo","Get an up-close look at the powerful and easy-to-use functionality of Ringtail e-discovery software.","https://i.ytimg.com/vi/HucGoBsaWME/default.jpg","120","90","https://i.ytimg.com/vi/HucGoBsaWME/mqdefault.jpg","320","180","https://i.ytimg.com/vi/HucGoBsaWME/hqdefault.jpg","480","360","Ringtail E-Discovery Software","none",656,"no","yes","no","https://www.youtube.com/watch?v=HucGoBsaWME","Ringtail Quick Demo","Ringtail E-Discovery Software","no","software",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","3-nXWN6ZbJU","2019-01-01T19:01:39.000Z","UCeJA2g4BNcZPue3kak4wK_A","Texas Trail Cams Compilation - Mainly Ringtails Jan. 1, 2019","A lot of ringtail (& a little grey fox) activity in this video. Recent rains & creek flooding have prevented me from checking my other trail cams but this short video is ...","https://i.ytimg.com/vi/3-nXWN6ZbJU/default.jpg","120","90","https://i.ytimg.com/vi/3-nXWN6ZbJU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/3-nXWN6ZbJU/hqdefault.jpg","480","360","Grant Critchfield's Texas Trail Cams","none",48,"no","yes","no","https://www.youtube.com/watch?v=3-nXWN6ZbJU","Texas Trail Cams Compilation - Mainly Ringtails Jan. 1, 2019","Grant Critchfield's Texas Trail Cams","yes",NA,"trail cam","1;1;1;1;1;1;1;1; 1","0","2019-01-01","12/27/2018 20:00:00; 2018-12-27 23:38; 2018-12-28 18:46; 2018-12-28 20:32; 2018-12-29 10:59; 2018-12-30 0:14; 2018-12-31 1:49; 2018-12-27 20:09; 2018-12-28 20:34; 2018-12-30 0:17","no","n/a","no","yes",NA,"no","n/a","no","walking","nature tourism trails","central Texas",NA,NA
"10","wn35cfzMbCY","2017-07-26T20:38:30.000Z","UCXwRxm0zS0jBNTMOVI6xZJw","What type of noise does a ringtail make?","The Houston SPCA Wildlife Center of Texas has taken in a ringtail, the first ever of the species to come under their care in the organization's decade-long history.","https://i.ytimg.com/vi/wn35cfzMbCY/default.jpg","120","90","https://i.ytimg.com/vi/wn35cfzMbCY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/wn35cfzMbCY/hqdefault.jpg","480","360","KHOU 11","none",166,"no","yes","no","https://www.youtube.com/watch?v=wn35cfzMbCY","What type of noise does a ringtail make?","KHOU 11","yes","captive; educational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
